ID;Lots;Valeur
1;Lot Siemens;900,00
2;Lot Siemens;900,00
3;iPad Air;839,00
4;Smartphone OnePlus7 pro;710,00
5;iRobot Roomba e5;399,99
6;iRobot Roomba e5;399,99
7;iRobot Roomba e5;399,99
8;Shooting photo avec Vision Productions (Julien Queguineur);150,00
9;Une tablette Galaxy Tab A6 10,2'' 32Go Wifi;150,00
10;Enceinte bluetooth Bose;139,00
11;Brosse à dents Philips 3- HX8911/02 ;119,99
12;Disque dur 4To;120,00
13;Coffret Cosmetique La Biosthétique Long hair;116,65
14;Coffret Cosmetique La Biosthétique Spa bleu;107,35
15;Coffret Cosmetique La Biosthétique Botanique;107,35
16;Coffret Cosmetique La Biosthétique Spa bronze;104,05
17;Casque audio beats EP;100,00
18;Manchette Bangle Up;98,00
19;Coucou Suzette Lot 2 Danse;94,10
20;Coucou Suzette Lot 2 Danse;94,10
21;Coucou Suzette Lot 2 Danse;94,10
22;Coucou Suzette Lot 2 Danse;94,10
23;Coucou Suzette Lot 2 Danse;94,10
24;Coucou Suzette Lot 2 Danse;94,10
25;Coucou Suzette Lot 2 Danse;94,10
26;Coucou Suzette Lot 2 Danse;94,10
27;Coucou Suzette Lot 2 Danse;94,10
28;Coucou Suzette Lot 2 Danse;94,10
29;Coucou Suzette Lot 3 Bon app + cinema;91,70
30;Coucou Suzette Lot 3 Bon app + cinema;91,70
31;Coucou Suzette Lot 3 Bon app + cinema;91,70
32;Coucou Suzette Lot 3 Bon app + cinema;91,70
33;Coucou Suzette Lot 3 Bon app + cinema;91,70
34;Coucou Suzette Lot 3 Bon app + cinema;91,70
35;Coucou Suzette Lot 3 Bon app + cinema;91,70
36;Coucou Suzette Lot 3 Bon app + cinema;91,70
37;Coucou Suzette Lot 3 Bon app + cinema;91,70
38;Coucou Suzette Lot 3 Bon app + cinema;91,70
39;Caisse de 6 bouteilles de Champagne;90,00
40;Bracelet Bangle Up;90,00
41;Coucou Suzette Lot 1 Yoga;83,70
42;Coucou Suzette Lot 1 Yoga;83,70
43;Coucou Suzette Lot 1 Yoga;83,70
44;Coucou Suzette Lot 1 Yoga;83,70
45;Coucou Suzette Lot 1 Yoga;83,70
46;Coucou Suzette Lot 1 Yoga;83,70
47;Coucou Suzette Lot 1 Yoga;83,70
48;Coucou Suzette Lot 1 Yoga;83,70
49;Coucou Suzette Lot 1 Yoga;83,70
50;Coucou Suzette Lot 1 Yoga;83,70
51;Coffret Cosmetique La Biosthétique Homme;74,35
52;Boucles d'oreilles créoles Bangle Up;60,00
53;Boite à histoire Lunii;59,90
